title,url,published_at,video_id
Windy Landscape 73% (Read desc),https://youtu.be/_NPziZ_t9xw,2019-06-02T23:04:43Z,_NPziZ_t9xw
The Behemoth by JacobROso + 3 coins [Medium Demon],https://youtu.be/bkMdwcmQvvA,2019-06-01T11:55:15Z,bkMdwcmQvvA
Absolute Zero by BekiD1442 [Easy Demon],https://youtu.be/6yeJP9nhP0Q,2019-05-28T14:14:49Z,6yeJP9nhP0Q
Electroman Adven v2 by IIINEPTUNEIII [Easy Demon],https://youtu.be/AkDZc1DiBTg,2019-05-24T09:14:53Z,AkDZc1DiBTg
(Mobile Tournament) Nitro Clubstep by Rek3ge [Medium Demon],https://youtu.be/ugtrhKHppvc,2019-04-29T09:25:44Z,ugtrhKHppvc
(Mobile) Bloody Room by F3lixsram [Medium Demon],https://youtu.be/4J49Iiem76I,2019-04-25T09:09:40Z,4J49Iiem76I
BLACK BLIZZARD,https://youtu.be/xSbHl3iWE2A,2019-04-21T04:01:14Z,xSbHl3iWE2A
Natural Step by TrueNature [Easy demon],https://youtu.be/0jAZMS781kc,2019-03-26T06:15:05Z,0jAZMS781kc
Cool bug for free stars,https://youtu.be/B_JEV6GxV2c,2019-03-17T10:59:51Z,B_JEV6GxV2c
A challenge by my friend,https://youtu.be/tcZD1lLGJfM,2019-03-17T10:27:49Z,tcZD1lLGJfM
(Mobile) Poltergeist by Andromeda 50-100% [Insane demon],https://youtu.be/gjGSAYNdofc,2019-02-23T05:52:28Z,gjGSAYNdofc
(Mobile) WOOGI Jumper by WOOGI1411 [Medium Demon],https://youtu.be/PJbxxFLMtCg,2019-01-27T07:56:06Z,PJbxxFLMtCg
(PATCHED) Sky Tech [Free Demon],https://youtu.be/hak8NUWV6oA,2019-01-06T12:35:31Z,hak8NUWV6oA
С Новым 2019-м Годом!,https://youtu.be/pV3MHcBEI6U,2019-01-01T09:04:04Z,pV3MHcBEI6U
Stereo Demoness 69% (I hate this),https://youtu.be/y4MYQMQRTm4,2018-12-16T09:30:09Z,y4MYQMQRTm4
(Mobile) Stereo Demoness 67%,https://youtu.be/oeQZU1loUz0,2018-11-03T13:31:09Z,oeQZU1loUz0
[REQ:OFF] Windy Landscape 85% (live),https://youtu.be/9OzjTsoS1Jo,2018-10-29T07:54:09Z,9OzjTsoS1Jo
My part in collab,https://youtu.be/OegLX624evY,2018-09-20T12:15:47Z,OegLX624evY
